Company_name,Industry,Sector,Country,Type_of_Document,Publication_Year,url
ItaÃº Unibanco Holding SA,Commercial Banks,Financials,Brazil,Annual Reports,2020,https://www.itau.com.br/relacoes-com-investidores/annual-report/2019/pdf/ESG-further-information.pdf
ITT Inc,Industrial Machinery & Goods,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.itt.com/itt/Media/itt/ITTSite/Publications/ITT_SustainabilityReport-2019.pdf
Poste Italiane SpA,Insurance,Financials,Italy,Annual Reports,2020,https://www.posteitaliane.it/files/1476515475256/Annual-Report-2019.pdf
Potlatch Corp,Forestry Management,Renewable Resources & Alternative Energy,United States,Corporate Responsibility Reports,2020,https://s1.q4cdn.com/378084150/files/doc_financials/2019/sr/PCH_2019-ESG-HR-S.pdf
Primerica Inc,Insurance,Financials,United States,Corporate Responsibility Reports,2020,http://s22.q4cdn.com/709213704/files/doc_downloads/2019/Corporate-Sustainability-Report-2019.pdf
Prudential Financial Inc,Insurance,Financials,United States,Corporate Responsibility Reports,2020,https://s1.q4cdn.com/379746662/files/sustainability_reports/06/2019_Sustainability-Report_v2a.pdf
Public Storage,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://s1.q4cdn.com/588671402/files/doc_downloads/2020/Sustainability-Report-vFinal.pdf
PVH Corp,"Apparel, Accessories & Footwear",Consumer Goods,United States,Corporate Responsibility Reports,2020,https://responsibility.pvh.com/wp-content/uploads/2020/07/PVH-2019-CR-Report.pdf
Range Resources Corp,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://csr.rangeresources.com/wp-content/uploads/2020/09/Range_resources_CSR_report.pdf
RBC - Royal Bank of Canada,Commercial Banks,Financials,Canada,Corporate Responsibility Reports,2020,https://www.rbc.com/community-social-impact/_assets-custom/pdf/RBC-SASB-Index-2019.pdf
Regal Beloit Corp,Electrical & Electronic Equipment,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://regalbeloit.q4cdn.com/342045820/files/doc_downloads/2020/09/REGAL-2020-Sustainability-Report-web.pdf
Regency Centers Corp,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://regcorpweb.blob.core.windows.net/sitefinityfiles/docs/default-source/corporate-responsibility/2019-regency-centers-corporate-responsibility-report3fc51e6814864ce5bc16f9d87a465422.pdf?sfvrsn=d24352af_2
Regeneron Pharmaceuticals Inc,Biotechnology & Pharmaceuticals,Health Care,United States,Corporate Responsibility Reports,2020,https://investor.regeneron.com/index.php/static-files/8895d298-cda6-44d0-b442-4f0994d6f94a
Reinet Investments SCA,Asset Management & Custody Activities,Financials,Luxembourg,Annual Reports,2020,https://www.reinet.com/images/investor_relations/reports/annual_report/2020/ar2020_jd834nd62nd81.pdf
Republic Services Inc,Waste Management,Infrastructure,United States,Corporate Responsibility Reports,2020,https://investor.republicservices.com/static-files/b9188664-6a4c-4c5b-a1bf-d9db5baa298f
Roxgold Inc,Metals & Mining,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://s22.q4cdn.com/726251528/files/doc_downloads/2020/06/Roxgold-2019-sustainability-report.pdf
S&P Global Inc,Professional & Commercial Services,Services,United States,Corporate Responsibility Reports,2020,https://www.spglobal.com/en/who-we-are/corporate-responsibility/spgi-environmental-social-governance-report-2019.pdf
Samsung Electronics Co Ltd,Hardware,Technology & Communications,South Korea,Corporate Responsibility Reports,2020,https://images.samsung.com/is/content/samsung/p5/uk/aboutsamsung/pdf/Sustainability_report_2020_en_F.pdf
Sanderson Farms Inc,"Meat, Poultry & Dairy",Food & Beverage,United States,Corporate Responsibility Reports,2020,http://ir.sandersonfarms.com/static-files/a11fcbd2-9dc4-441a-ae92-8258d316280d
SBA Communications Corp,Engineering & Construction Services,Infrastructure,United States,Corporate Responsibility Reports,2020,https://s22.q4cdn.com/819087555/files/doc_downloads/2020/12/122320_SUSTAIN_FINAL.pdf
Secom Co Ltd,Professional & Commercial Services,Services,Japan,Corporate Responsibility Reports,2020,https://www.secom.co.jp/english/ir/lib/AR/2020e_SASB_Disclosure.pdf
Serica Energy PLC,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,Britain,Corporate Responsibility Reports,2020,https://www.serica-energy.com/downloads/ESG-report-2019.pdf
Shaw Industries,Telecommunication Services,Technology & Communications,Canada,Corporate Responsibility Reports,2020,https://downloads.ctfassets.net/tzb4ihmthaev/1SS2vkuq0eTjZKxpROP4Qu/f032ee4c5210b5faccb19085ac3640a1/shw_esg_report_2020.pdf
ShawCor Ltd,Oil & Gas â€“ Services,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://cdn.shawcor.com/hg/medialibraries/shawcor/corporate/pdfs/2019-shawcor-sustainability-report.pdf
Shelf Drilling Holdings Ltd,Oil & Gas â€“ Services,Extractives & Minerals Processing,UAE,Corporate Responsibility Reports,2020,https://www.shelfdrilling.com/wp-content/uploads/2018/06/Shelf-Drilling-Sustainability-Report-2019.pdf
Shinhan Financial Group Co Ltd,Commercial Banks,Financials,South Korea,Corporate Responsibility Reports,2020,http://www.shinhangroup.com/kr/common/download/commonDownload.jsp?actionValue=PDF&pathKey=CSRREPORT&fileName=2019_report_eng_download.pdf
SinoPac Financial Holdings Co Ltd,Commercial Banks,Financials,Taiwan,Corporate Responsibility Reports,2020,http://www.sinopac.com/upload/sinopac/reportDownload/1740657d18400000223b.pdf
SITE Centers Corp,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://images.sitecenters.com/web/pdf/2019_CRS_Report-063020.pdf
SK Holdings Co Ltd,Software & IT Services,Technology & Communications,South Korea,Corporate Responsibility Reports,2020,https://www.skholdings.co.kr/pdf/KOR_SK-holdings_SR_2020_Interactive_Fin.pdf
SLM Corp,Consumer Finance,Financials,United States,Corporate Responsibility Reports,2020,https://www.salliemae.com/assets/investors/corp-governance/SallieMae_CSR.pdf
SM Energy Co,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,http://sm-energy.com/wp-content/uploads/2020/08/8_2020_SM_2019_SASB.pdf
Southwest Gas Corp,Gas Utilities & Distributors,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.swgasholdings.com/wp-content/uploads/2020/10/Southwest-Gas-Holdings-2020-Sustainability-Report.pdf
SSR Mining Inc,Metals & Mining,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://2019sustainabilityreport.ssrmining.com/_resources/reports/SSR_Sustainability_Report_English.pdf
Stantec Inc,Engineering & Construction Services,Infrastructure,Canada,Corporate Responsibility Reports,2020,https://www.stantec.com/content/dam/stantec/files/PDFAssets/2020/stn-sustainability-report-2019.pdf
Stepan Co,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://stepan.gcs-web.com/static-files/5fb8f458-df94-44ba-9fca-4f1997b4594d
SunTrust Banks Inc,Commercial Banks,Financials,United States,Corporate Responsibility Reports,2020,https://www.truist.com/content/dam/truist/us/en/documents/truist-corporate-social-responsibility-report.pdf
T. Rowe Price Group Inc,Asset Management & Custody Activities,Financials,United States,Corporate Responsibility Reports,2020,https://www.troweprice.com/content/dam/trowecorp/Pdfs/2019_T_Rowe_Price_Sustainability_Report_2.pdf
Tamarack Valley Energy Ltd,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,http://www.tamarackvalley.ca/wp-content/uploads/2020/10/TVE-ESG_Report-20-10-22_PRESS-Opt.pdf
TELUS Corp,Telecommunication Services,Technology & Communications,Canada,Corporate Responsibility Reports,2020,https://downloads.ctfassets.net/rz9m1rynx8pv/6PsGKFFShtIPIqjbNR5krR/c6049bd16a42b2b9e4a0fe60d4f35117/2019_TELUS_Sustainability_Report--04_20.pdf
TMX Group Ltd,Security & Commodity Exchanges,Financials,Canada,Corporate Responsibility Reports,2020,https://www.tmx.com/resource/en/743/2019-2020-environmental-social-and-governance-report-en.pdf
TPI Composites Inc,Wind Technology & Project Developers,Renewable Resources & Alternative Energy,United States,Corporate Responsibility Reports,2020,https://s21.q4cdn.com/635504763/files/doc_downloads/2020/TPI-Composites-2019-ESG-Report_v2.pdf
Tractor Supply Co,Multiline and Specialty Retailers & Distributors,Consumer Goods,United States,Corporate Responsibility Reports,2020,https://s23.q4cdn.com/539497486/files/doc_downloads/esg/2020/TSC_2019_Tear_Sheet_FINAL.pdf
Transurban Group,Engineering & Construction Services,Infrastructure,Australia,Corporate Responsibility Reports,2020,https://www.transurban.com/content/dam/transurban-pdfs/01/sustainability-reports/FY20-Sustainability-Supplement.pdf
Travelers Cos Inc/The,Insurance,Financials,United States,Corporate Responsibility Reports,2020,https://sustainability.travelers.com/downloads/Travelers_SASBReport2019.pdf
Uber Technologies Inc,Internet Media & Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://s23.q4cdn.com/407969754/files/design/Uber-2020-ESG-Report-Final.pdf
United Natural Foods Inc,Food Retailers & Distributors,Food & Beverage,United States,Corporate Responsibility Reports,2020,https://www.unfi.com/sites/default/files/sustainability-reports/sasb_reference_table.pdf
United Therapeutics Corp,Biotechnology & Pharmaceuticals,Health Care,United States,Corporate Responsibility Reports,2020,https://corporateresponsibility.unither.com/downloads/2020-corporate-responsibility-report.pdf
United Urban Investment Corp,Real Estate,Infrastructure,Japan,Corporate Responsibility Reports,2020,https://www.united-reit.co.jp/assets/feature/en/esg/esg_report_2019.pdf
Universal Corp/VA,Agricultural Products,Food & Beverage,United States,Corporate Responsibility Reports,2020,http://universalcorp.com/Resources/Practices/2020%20Universal%20Sustainability%20Report.pdf
Unum Group,Insurance,Financials,United States,Corporate Responsibility Reports,2020,http://www.unum.com/2019ESGreport
Vail Resorts Inc,Leisure Facilities,Services,United States,Corporate Responsibility Reports,2020,http://www.epicpromise.com/media/2237/epic-promise-progress-report-2020.pdf
Vale SA,Metals & Mining,Extractives & Minerals Processing,Brazil,Corporate Responsibility Reports,2020,http://www.vale.com/EN/investors/information-market/annual-reports/sustainability-reports/Sustainability%20Reports/Relatorio_sustentabilidade_vale_2019_alta_en.pdf
Viavi Solutions Inc,Hardware,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.viavisolutions.com/en-us/literature/sasb-disclosure-en.pdf
Visa Inc,Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://usa.visa.com/dam/VCOM/download/corporate-responsibility/visa-2019-corporate-responsibility-report.pdf
Waste Connections Inc,Waste Management,Infrastructure,United States,Corporate Responsibility Reports,2020,https://cdn.wasteconnections.com/resources/documents/sustainability/Waste%20Connections-2020%20Sustainability%20Report.pdf
Wells Fargo & Co,Commercial Banks,Financials,United States,Corporate Responsibility Reports,2020,https://www08.wellsfargomedia.com/assets/pdf/about/corporate-responsibility/gri-index.pdf
Welltower Inc,Real Estate,Infrastructure,United States,Regulatory Filings,2020,https://welltower.gcs-web.com/static-files/e77e8e91-e7d2-4c97-9c10-46c7bdb6a28c
Westpac Banking Corp,Commercial Banks,Financials,Australia,Corporate Responsibility Reports,2020,https://www.westpac.com.au/content/dam/public/wbc/documents/pdf/aw/sustainability/WBC_2020_sustainability_appendix.pdf
Westrock Co,Containers & Packaging,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.westrock.com/-/media/pdf/sustainability/westrock-2019-gri-report-pdf.pdf?modified=20200601161548
Weyerhaeuser Co,Forestry Management,Renewable Resources & Alternative Energy,United States,Corporate Responsibility Reports,2020,https://www.weyerhaeuser.com/application/files/3515/9371/4365/WY_Sustainability_Accounting_Standards_Board_SASB.pdf
Wheaton Precious Metals Corp,Metals & Mining,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://s21.q4cdn.com/266470217/files/doc_financials/2019/sr/05-28-2020_Wheaton-2019-Sustainability-Report.pdf
Whirlpool Corp,Appliance Manufacturing,Consumer Goods,United States,Corporate Responsibility Reports,2020,http://www.corporatereport.com/Whirlpool-Corporation-2019-Sustainability-Report.pdf
Whitecap Resources Inc,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://www.wcap.ca/application/files/6215/9191/1116/Whitecap-2020-ESG-Report_Final-002.pdf
Williams Cos Inc/The,Oil & Gas â€“ Midstream,Extractives & Minerals Processing,United States,Annual Reports,2020,https://www.williams.com/wp-content/uploads/sites/6/2020/07/Williams_2019SustainabilityReport_pages.pdf
Williams-Sonoma Inc,Multiline and Specialty Retailers & Distributors,Consumer Goods,United States,Corporate Responsibility Reports,2020,https://sustainability.williams-sonomainc.com/wp-content/uploads/2020/10/FINAL_WSI_Sustainability_Report_2019-compressed.pdf
Wynn Resorts Ltd,Casinos & Gaming,Services,United States,Corporate Responsibility Reports,2020,https://www.visitwynn.com/documents/2019_ESG_Report_Wynn_Resorts.pdf
Xebec Adsorption Inc,Industrial Machinery & Goods,Resource Transformation,Canada,Corporate Responsibility Reports,2020,https://xebecinc.com/wp-content/uploads/2020/08/ESG-Report-2019.pdf
Xerox Holdings Corp,Hardware,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.xerox.com/downloads/dl/usa/en/x/SASB_Report.pdf
Xilinx Inc,Semiconductors,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.xilinx.com/publications/about/corporate-responsibility-2020.pdf
XPO Logistics Inc,Air Freight & Logistics,Transportation,United States,Corporate Responsibility Reports,2020,https://xpodotcom.azureedge.net/xpo/files/s18/XPO_Logistics_2019_Sustainability_Report_4.pdf
Xylem Inc.,Industrial Machinery & Goods,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.xylem.com/siteassets/sustainability/2019/xylem-2019-sustainability-report.pdf
Acer Inc,Hardware,Technology & Communications,Taiwan,Corporate Responsibility Reports,2020,https://www.acer-group.com/userfiles/Acer_CR_Report_2019.pdf
Acuity Brands Inc,Electrical & Electronic Equipment,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.acuitybrands.com/-/media/abl/acuitybrands/files/about-us/sustainability/acuitybrandsesg20_final.pdf?forceBehavior=open
Adecoagro SA,Agricultural Products,Food & Beverage,Argentina,Corporate Responsibility Reports,2020,https://sustainability.adecoagro.com/pdf/2019-en.pdf
Adobe Inc,Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-FY2019.pdf
ADP - Automatic Data Processing Inc,Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://sustainability.adp.com/pdf/2020-Social-Responsibility-Report.pdf
Agnico Eagle Mines Ltd,Metals & Mining,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://s21.q4cdn.com/374334112/files/doc_downloads/sd_reports/2019/AgnicoEagle_SDReport2019.pdf
Alamos Gold Inc.,Metals & Mining,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://s24.q4cdn.com/779615370/files/doc_downloads/2020/Alamos-2019-ESG-Report-Final.pdf
Albemarle Corp,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://investors.albemarle.com/static-files/ac27afbf-5f4e-4921-b52a-e48db948b1ac#_ga=2.21519420.621049250.1653329735-694290911.1650996918
Alcon Inc,Medical Equipment & Supplies,Health Care,Switzerland,Corporate Responsibility Reports,2020,https://s1.q4cdn.com/963204942/files/doc_downloads/2020/07/2019-Alcon-CR-Report.pdf
Alexion Pharmaceuticals Inc,Biotechnology & Pharmaceuticals,Health Care,United States,Corporate Responsibility Reports,2020,https://csr.alexion.com/2019-alexion-csr-report.pdf
AltaGas Ltd,Oil & Gas â€“ Midstream,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://esg.altagas.ca/pdfs/AltaGas%20Ltd%20ESG%20Report_v7.2.pdf
Alumina Ltd,Metals & Mining,Extractives & Minerals Processing,Australia,Corporate Responsibility Reports,2020,https://www.aluminalimited.com/database-files/view-file/?id=17619
Amcor PLC,Containers & Packaging,Resource Transformation,Britain,Corporate Responsibility Reports,2020,https://downloads.ctfassets.net/f7tuyt85vtoa/7ps1jEDwo4alfsYljVAYmy/22851bb3c29d21eb40b58d7968044671/Amcor_Sustainability_Report_2020_Final.pdf
American Airlines Group Inc,Airlines,Transportation,United States,Corporate Responsibility Reports,2020,https://www.aa.com/content/images/customer-service/about-us/corporate-governance/aag-esg-report-2019-2020.pdf
American Electric Power Co Inc,Electric Utilities & Power Generators,Infrastructure,United States,Corporate Responsibility Reports,2020,http://aepsustainability.com/performance/docs/2020%20AEP%20SASB%20Report.pdf
American Tower Corp,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://bit.ly/30BKrE2
AmerisourceBergen Corp,Health Care Distributors,Health Care,United States,Corporate Responsibility Reports,2020,https://www.amerisourcebergen.com/-/media/assets/amerisourcebergen/corporate_citizenship/abc_corpcitizenship_report_2019.pdf?la=en&hash=0BF538E339CA6B4115DEFEAA0D2A65F2C4A3DA2A
"Ansys, Inc.",Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://s24.q4cdn.com/308583981/files/doc_downloads/2020/06/FY2019-SASB-Disclosure.pdf
Antero Midstream Partners LP,Oil & Gas â€“ Midstream,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://d1io3yog0oux5.cloudfront.net/_f36985c0a0300366bd4de8a8ae2e4d90/anteromidstream/files/theme/site-files/Midstream+CSR+Brochure+2019-FinalWeb.pdf
Antero Resources Corp,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://d1io3yog0oux5.cloudfront.net/_5b002c80e3b25bf42ee6e81ca7141237/anteroresources/db/722/5761/pdf/Resources+CSR+Brochure+2019+WebFinal+%281%29.pdf
Apple Inc,Hardware,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://s2.q4cdn.com/470004039/files/doc_downloads/2020/Apple-ESG-Index.pdf
ARC Resources Ltd.,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://www.arcresources.com/assets/pdf/ARC-Resources-Ltd.-2020-ESG-Report.pdf
ArcelorMittal SA,Iron & Steel Producers,Extractives & Minerals Processing,Luxembourg,Corporate Responsibility Reports,2020,https://corporate-media.arcelormittal.com/media/bjidbiwc/arcelor-mittal-basis-of-reporting-2019.pdf
Archer Ltd,Oil & Gas â€“ Services,Extractives & Minerals Processing,Norway,Corporate Responsibility Reports,2020,https://mb.cision.com/Public/17569/3101180/97ad5437b0041943.pdf
Archer-Daniels-Midland Co,Agricultural Products,Food & Beverage,United States,Corporate Responsibility Reports,2020,https://assets.adm.com/Sustainability/2019-Reports/2019-ADM-Sustainability-Report.pdf
Arconic Corp,Metals & Mining,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.arconic.com/global/en/who-we-are/pdf/sustainability-reports/2019-Sustainability-Report.pdf
Armstrong Flooring Inc,Building Products & Furnishings,Consumer Goods,United States,Corporate Responsibility Reports,2020,https://www.armstrongflooring.com/content/dam/armstrongflooring/corporate/sustainability/SustainabilityReport-2020.pdf
ASUSTeK Computer Inc.,Hardware,Technology & Communications,Taiwan,Corporate Responsibility Reports,2020,https://csr.asus.com/english/file/ASUS_Detailed_2019_EN.pdf
Atmos Energy Corp,Gas Utilities & Distributors,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.atmosenergy.com/sites/default/files/2020_corporate_responsibility_and_sustainability_report_-_final_12-3-20.pdf
Avient Corp,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.avient.com/sites/default/files/2020-10/2019-avient-sustainability-report.pdf
Avis Budget Group Inc,Car Rental & Leasing,Transportation,United States,Corporate Responsibility Reports,2020,https://avisbudgetgroup.com/wp-content/uploads/2020/11/CSR2020_Brochure_23.10.20.pdf
Azul SA,Airlines,Transportation,Brazil,Corporate Responsibility Reports,2020,https://api.mziq.com/mzfilemanager/v2/d/ed78542a-4e01-429a-8926-03d69ccfa307/1f8adaef-4e3a-035b-cef6-02a0745d8b7f?origin=2
Azul SA,Airlines,Transportation,Brazil,Annual Reports,2020,https://s3.amazonaws.com/mz-filemanager/ed78542a-4e01-429a-8926-03d69ccfa307/43f33aa8-bcd5-4652-bf0d-52df01c022d6_2%20-%20ASA_4Q19%20-%20Ingl%C3%AAs_FINAL.pdf
Banca Intesa AD Beograd,Commercial Banks,Financials,Serbia,Annual Reports,2020,https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/sostenibilt%C3%A0/dcnf-2019/eng/DCNF%202019_en.pdf
Banco Santander Brasil SA,Commercial Banks,Financials,Brazil,Corporate Responsibility Reports,2020,https://cms.santander.com.br/sites/WPS/documentos/arq-caderno-indicadores/20-08-31_182033_cadernoindicadoressantander2019inglesv5.pdf
Bank of Nova Scotia/The,Commercial Banks,Financials,Canada,Corporate Responsibility Reports,2020,https://www.scotiabank.com/content/dam/scotiabank/canada/en/documents/about/Scotiabank_2019_ESG_Report.pdf
Bank Rakyat Indonesia Persero Tbk PT,Commercial Banks,Financials,Indonesia,Corporate Responsibility Reports,2020,https://bri.co.id/documents/20123/56786/BRI%20-%20SR%20-%202019%20-%20%20INGGRIS%20-%20lowres.pdf
Barclays PLC,Commercial Banks,Financials,Britain,Corporate Responsibility Reports,2020,https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/Barclays-PLC-ESG-Report-2019.pdf
Baxter International Inc,Medical Equipment & Supplies,Health Care,United States,Corporate Responsibility Reports,2020,https://www.baxter.com/sites/g/files/ebysai746/files/2020-11/Baxter_2019_SASB_Index.pdf
BCE Inc (Bell Canada),Telecommunication Services,Technology & Communications,Canada,Corporate Responsibility Reports,2020,https://www.bce.ca/assets/responsibility/corporate-responsibility/2019-cr-report/2019-sasb-content-indices.pdf
BlackRock Inc,Asset Management & Custody Activities,Financials,United States,Corporate Responsibility Reports,2020,https://www.blackrock.com/corporate/literature/continuous-disclosure-and-important-information/blackrock2018sasbdisclosure.pdf
Bloomberg L.P.,Professional & Commercial Services,Services,United States,Corporate Responsibility Reports,2020,https://data.bloomberglp.com/company/sites/56/2020/04/SASB-Disclosure-2019.pdf
BlueScope Steel Ltd,Iron & Steel Producers,Extractives & Minerals Processing,Australia,Corporate Responsibility Reports,2020,https://s3-ap-southeast-2.amazonaws.com/bluescope-corporate-umbraco-media/media/2915/bsl-2020-sustainability-report.pdf
Boral Ltd,Construction Materials,Extractives & Minerals Processing,Australia,Corporate Responsibility Reports,2020,https://www.boral.com/sites/corporate/files/media/field_document/SASB-content-index%20-2020.pdf
BorgWarner Inc,Auto Parts,Transportation,United States,Corporate Responsibility Reports,2020,https://cdn.borgwarner.com/docs/default-source/default-document-library/sustainability-report.pdf?sfvrsn=7b59cb3c_34
Burlington Stores Inc,"Apparel, Accessories & Footwear",Consumer Goods,United States,Corporate Responsibility Reports,2020,https://www.burlingtoninvestors.com/static-files/cfe6b8e3-b92f-45b9-bb1b-140f4cc71313
Cabot Oil & Gas Corp,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.cabotcorp.com/-/media/files/reports/responsibility/cabot-corporation-sustainability-report-2019.pdf?la=en&rev=6741396fbc51494f81031e35622d70a6
California Resources Corp,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://crc.com/images/documents/sustainability/2019-CRC-Sustainability-Report.pdf
Callon Petroleum Co,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://d1io3yog0oux5.cloudfront.net/callon/files/pages/callon/db/307/description/Callon-Sustainability-Report-Final.pdf
Canadian Imperial Bank of Commerce,Commercial Banks,Financials,Canada,Corporate Responsibility Reports,2020,https://www.cibc.com/content/dam/about_cibc/corporate_responsibility/pdfs/cibc-esg-2019-en.pdf
Canadian National Railway Co,Rail Transportation,Transportation,Canada,Annual Reports,2020,https://cdn.metrio.net/clients/cn/cn-SR19_TS_Data_Supp_ENG_v22_FINAL_REV_v2.pdf
Canadian Pacific Railway Ltd,Rail Transportation,Transportation,Canada,Corporate Responsibility Reports,2020,https://sustainability.cpr.ca/downloads/CP-CSR-data-supplement-2019.pdf
Canadian Utilities Ltd,Electric Utilities & Power Generators,Infrastructure,Canada,Corporate Responsibility Reports,2020,https://www.canadianutilities.com/content/dam/web/canadian-utilities/investors/cu-yearly/cu-sustainability-framework-index-2019.pdf
Capri Holdings Ltd,"Apparel, Accessories & Footwear",Consumer Goods,Britain,Corporate Responsibility Reports,2020,http://s22.q4cdn.com/557169922/files/doc_downloads/2020/Capri-Corporate-Social-Responsibility-Standards-Supplement.pdf
Carrier Global Corp,Electrical & Electronic Equipment,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.corporate.carrier.com/Images/Carrier-2020-ESG-Report_tcm558-84190.PDF
CBRE Group Inc,Real Estate Services,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.cbre.com/-/media/files/corporate%20responsibility/cr%20report/2019/cbre_2019_cr_report.pdf
Cebu Holdings Inc,Real Estate,Infrastructure,Philippines,Annual Reports,2020,https://www.cebuholdings.com/wp-content/uploads/2017/01/2019-INTEGRATED-REPORT.pdf
Cemex SAB de CV,Construction Materials,Extractives & Minerals Processing,Mexico,Annual Reports,2020,https://www.cemex.com/documents/20143/49694544/2019-gri-index.pdf/b718f4c9-86f9-12af-0ebf-73b8d747062d
Chemours Co/The,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.chemours.com/en/-/media/files/corporate/crc/2019/corporate-responsibility-commitment-report-executive-summary.pdf
Cheniere Energy Inc,Oil & Gas â€“ Midstream,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.cheniere.com/pdf/First-and-Forward-2019-Corporate-Responsibility-Report-LR2.pdf
Cincinnati Financial Corporation,Insurance,Financials,United States,Corporate Responsibility Reports,2020,https://cincinnatifinancialcorporation.gcs-web.com/static-files/c992f8f5-c303-4e9d-9d93-39bec3c87d19
Cincinnati Financial Corporation,Insurance,Financials,United States,Corporate Responsibility Reports,2020,https://cincinnatifinancialcorporation.gcs-web.com/static-files/361dbd9a-0470-4326-ae46-9467e72334d1
Citrix Systems Inc,Software & IT Services,Technology & Communications,United States,null,2020,https://www.citrix.com/content/dam/citrix/en_us/documents/about/sustainability-report.pdf
City Developments Limited (CDL),Real Estate,Infrastructure,Singapore,Corporate Responsibility Reports,2020,https://ir.cdl.com.sg/static-files/1666d9cc-5d77-422f-8f6c-50d6e3674d90
Cleanaway Waste Management Ltd,Waste Management,Infrastructure,Australia,Corporate Responsibility Reports,2020,https://cleanaway2stor.blob.core.windows.net/cleanaway2-blob-container/2020/09/SR20_Interactive-PDF-Final.pdf
Clorox Co/The,Household & Personal Products,Consumer Goods,United States,Annual Reports,2020,https://s21.q4cdn.com/507168367/files/doc_financials/2020/ar/Clorox_2020_Integrated_Report_Full.pdf
Coca-Cola European Partners PLC,Non-Alcoholic Beverages,Food & Beverage,Britain,Corporate Responsibility Reports,2020,https://www.cocacolaep.com/assets/Sustainability/Documents/07f105ba63/2019-SASB-Table.pdf
Coeur Mining Inc,Metals & Mining,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.coeur.com/_resources/pdfs/2019-Responsibility-Report.pdf
Columbia Sportswear Co,"Apparel, Accessories & Footwear",Consumer Goods,United States,Corporate Responsibility Reports,2020,https://cscworkday.blob.core.windows.net/hrforms/Recruiting/Career_Site/CR_Reports/2019_Columbia_Corp_Resp_Report.pdf
